bar_count,timeframe,month,median_monthly_bar_count_for_timeframe,bar_count_relative_to_median_pct
5484,M5,2016-01-01 00:00:00+00:00,5886.0,93.17023445463812
5748,M5,2016-02-01 00:00:00+00:00,5886.0,97.65545361875637
6084,M5,2016-03-01 00:00:00+00:00,5886.0,103.36391437308869
5771,M5,2016-04-01 00:00:00+00:00,5886.0,98.04621134896364
6043,M5,2016-05-01 00:00:00+00:00,5886.0,102.66734624532789
6068,M5,2016-06-01 00:00:00+00:00,5886.0,103.09208290859667
5747,M5,2016-07-01 00:00:00+00:00,5886.0,97.63846415222562
6347,M5,2016-08-01 00:00:00+00:00,5886.0,107.83214407067618
5998,M5,2016-09-01 00:00:00+00:00,5886.0,101.9028202514441
5816,M5,2016-10-01 00:00:00+00:00,5886.0,98.81073734284743
5957,M5,2016-11-01 00:00:00+00:00,5886.0,101.20625212368333
5779,M5,2016-12-01 00:00:00+00:00,5886.0,98.18212708120964
5749,M5,2017-01-01 00:00:00+00:00,5886.0,97.67244308528711
5463,M5,2017-02-01 00:00:00+00:00,5886.0,92.81345565749236
6308,M5,2017-03-01 00:00:00+00:00,5886.0,107.1695548759769
5266,M5,2017-04-01 00:00:00+00:00,5886.0,89.46653075093442
6297,M5,2017-05-01 00:00:00+00:00,5886.0,106.98267074413863
6046,M5,2017-06-01 00:00:00+00:00,5886.0,102.71831464492014
5767,M5,2017-07-01 00:00:00+00:00,5886.0,97.97825348284064
6344,M5,2017-08-01 00:00:00+00:00,5886.0,107.78117567108391
5722,M5,2017-09-01 00:00:00+00:00,5886.0,97.21372748895685
6089,M5,2017-10-01 00:00:00+00:00,5886.0,103.44886170574243
5968,M5,2017-11-01 00:00:00+00:00,5886.0,101.39313625552158
5499,M5,2017-12-01 00:00:00+00:00,5886.0,93.42507645259938
6032,M5,2018-01-01 00:00:00+00:00,5886.0,102.48046211348965
5472,M5,2018-02-01 00:00:00+00:00,5886.0,92.96636085626912
5782,M5,2018-03-01 00:00:00+00:00,5886.0,98.23309548080191
5809,M5,2018-04-01 00:00:00+00:00,5886.0,98.69181107713217
6291,M5,2018-05-01 00:00:00+00:00,5886.0,106.88073394495412
5761,M5,2018-06-01 00:00:00+00:00,5886.0,97.87631668365613
6038,M5,2018-07-01 00:00:00+00:00,5886.0,102.58239891267414
6306,M5,2018-08-01 00:00:00+00:00,5886.0,107.13557594291538
5479,M5,2018-09-01 00:00:00+00:00,5886.0,93.08528712198438
6320,M5,2018-10-01 00:00:00+00:00,5886.0,107.3734284743459
5886,M5,2018-11-01 00:00:00+00:00,5886.0,100.0
5413,M5,2018-12-01 00:00:00+00:00,5886.0,91.9639823309548
5953,M5,2019-01-01 00:00:00+00:00,5886.0,101.13829425756032
5385,M5,2019-02-01 00:00:00+00:00,5886.0,91.48827726809378
5691,M5,2019-03-01 00:00:00+00:00,5886.0,96.68705402650357
5681,M5,2019-04-01 00:00:00+00:00,5886.0,96.51715936119606
6166,M5,2019-05-01 00:00:00+00:00,5886.0,104.75705062861027
5493,M5,2019-06-01 00:00:00+00:00,5886.0,93.32313965341488
6278,M5,2019-07-01 00:00:00+00:00,5886.0,106.65987088005437
6030,M5,2019-08-01 00:00:00+00:00,5886.0,102.44648318042813
5765,M5,2019-09-01 00:00:00+00:00,5886.0,97.94427454977914
6303,M5,2019-10-01 00:00:00+00:00,5886.0,107.08460754332314
5647,M5,2019-11-01 00:00:00+00:00,5886.0,95.93951749915053
5692,M5,2019-12-01 00:00:00+00:00,5886.0,96.70404349303432
6009,M5,2020-01-01 00:00:00+00:00,5886.0,102.08970438328238
5463,M5,2020-02-01 00:00:00+00:00,5886.0,92.81345565749236
6073,M5,2020-03-01 00:00:00+00:00,5886.0,103.17703024125042
5792,M5,2020-04-01 00:00:00+00:00,5886.0,98.40299014610942
5746,M5,2020-05-01 00:00:00+00:00,5886.0,97.62147468569486
6069,M5,2020-06-01 00:00:00+00:00,5886.0,103.10907237512743
6270,M5,2020-07-01 00:00:00+00:00,5886.0,106.52395514780837
5820,M5,2020-08-01 00:00:00+00:00,5886.0,98.87869520897044
6021,M5,2020-09-01 00:00:00+00:00,5886.0,102.29357798165137
6047,M5,2020-10-01 00:00:00+00:00,5886.0,102.73530411145092
5717,M5,2020-11-01 00:00:00+00:00,5886.0,97.1287801563031
6014,M5,2020-12-01 00:00:00+00:00,5886.0,102.17465171593612
5483,M5,2021-01-01 00:00:00+00:00,5886.0,93.15324498810737
5471,M5,2021-02-01 00:00:00+00:00,5886.0,92.94937138973836
6359,M5,2021-03-01 00:00:00+00:00,5886.0,108.03601766904518
5767,M5,2021-04-01 00:00:00+00:00,5886.0,97.97825348284064
5769,M5,2021-05-01 00:00:00+00:00,5886.0,98.01223241590215
6070,M5,2021-06-01 00:00:00+00:00,5886.0,103.12606184165818
6000,M5,2021-07-01 00:00:00+00:00,5886.0,101.9367991845056
6088,M5,2021-08-01 00:00:00+00:00,5886.0,103.43187223921169
6023,M5,2021-09-01 00:00:00+00:00,5886.0,102.32755691471287
5792,M5,2021-10-01 00:00:00+00:00,5886.0,98.40299014610942
5967,M5,2021-11-01 00:00:00+00:00,5886.0,101.37614678899082
6055,M5,2021-12-01 00:00:00+00:00,5886.0,102.87121984369692
5759,M5,2022-01-01 00:00:00+00:00,5886.0,97.84233775059464
5488,M5,2022-02-01 00:00:00+00:00,5886.0,93.23819232076113
6359,M5,2022-03-01 00:00:00+00:00,5886.0,108.03601766904518
5493,M5,2022-04-01 00:00:00+00:00,5886.0,93.32313965341488
6063,M5,2022-05-01 00:00:00+00:00,5886.0,103.00713557594293
6041,M5,2022-06-01 00:00:00+00:00,5886.0,102.6333673122664
5763,M5,2022-07-01 00:00:00+00:00,5886.0,97.91029561671763
6342,M5,2022-08-01 00:00:00+00:00,5886.0,107.74719673802242
6017,M5,2022-09-01 00:00:00+00:00,5886.0,102.22562011552839
5809,M5,2022-10-01 00:00:00+00:00,5886.0,98.69181107713217
5971,M5,2022-11-01 00:00:00+00:00,5886.0,101.44410465511382
5771,M5,2022-12-01 00:00:00+00:00,5886.0,98.04621134896364
5755,M5,2023-01-01 00:00:00+00:00,5886.0,97.77437988447163
5483,M5,2023-02-01 00:00:00+00:00,5886.0,93.15324498810737
6330,M5,2023-03-01 00:00:00+00:00,5886.0,107.54332313965342
5259,M5,2023-04-01 00:00:00+00:00,5886.0,89.34760448521916
6312,M5,2023-05-01 00:00:00+00:00,5886.0,107.2375127420999
6004,M5,2023-06-01 00:00:00+00:00,5886.0,102.00475705062861
5762,M5,2023-07-01 00:00:00+00:00,5886.0,97.89330615018689
6290,M5,2023-08-01 00:00:00+00:00,5886.0,106.86374447842337
5694,M5,2023-09-01 00:00:00+00:00,5886.0,96.73802242609581
6081,M5,2023-10-01 00:00:00+00:00,5886.0,103.31294597349643
5956,M5,2023-11-01 00:00:00+00:00,5886.0,101.18926265715255
5503,M5,2023-12-01 00:00:00+00:00,5886.0,93.4930343187224
6052,M5,2024-01-01 00:00:00+00:00,5886.0,102.82025144410466
5752,M5,2024-02-01 00:00:00+00:00,5886.0,97.72341148487938
5522,M5,2024-03-01 00:00:00+00:00,5886.0,93.81583418280665
6071,M5,2024-04-01 00:00:00+00:00,5886.0,103.14305130818893
6288,M5,2024-05-01 00:00:00+00:00,5886.0,106.82976554536188
5511,M5,2024-06-01 00:00:00+00:00,5886.0,93.6289500509684
6315,M5,2024-07-01 00:00:00+00:00,5886.0,107.28848114169216
6048,M5,2024-08-01 00:00:00+00:00,5886.0,102.75229357798166
5785,M5,2024-09-01 00:00:00+00:00,5886.0,98.28406388039416
6330,M5,2024-10-01 00:00:00+00:00,5886.0,107.54332313965342
5712,M5,2024-11-01 00:00:00+00:00,5886.0,97.04383282364934
5746,M5,2024-12-01 00:00:00+00:00,5886.0,97.62147468569486
6037,M5,2025-01-01 00:00:00+00:00,5886.0,102.56540944614339
5485,M5,2025-02-01 00:00:00+00:00,5886.0,93.18722392116887
5816,M5,2025-03-01 00:00:00+00:00,5886.0,98.81073734284743
5786,M5,2025-04-01 00:00:00+00:00,5886.0,98.3010533469249
6016,M5,2025-05-01 00:00:00+00:00,5886.0,102.20863064899761
5789,M5,2025-06-01 00:00:00+00:00,5886.0,98.35202174651715
6299,M5,2025-07-01 00:00:00+00:00,5886.0,107.01664967720012
5793,M5,2025-08-01 00:00:00+00:00,5886.0,98.41997961264016
6041,M5,2025-09-01 00:00:00+00:00,5886.0,102.6333673122664
6324,M5,2025-10-01 00:00:00+00:00,5886.0,107.44138634046891
5465,M5,2025-11-01 00:00:00+00:00,5886.0,92.84743459055386
6007,M5,2025-12-01 00:00:00+00:00,5886.0,102.05572545022086
5764,M5,2026-01-01 00:00:00+00:00,5886.0,97.92728508324838
5482,M5,2026-02-01 00:00:00+00:00,5886.0,93.13625552157663
6093,M5,2026-03-01 00:00:00+00:00,5886.0,103.51681957186545
1828,M15,2016-01-01 00:00:00+00:00,1940.0,94.22680412371133
1916,M15,2016-02-01 00:00:00+00:00,1940.0,98.76288659793815
2028,M15,2016-03-01 00:00:00+00:00,1940.0,104.53608247422682
1923,M15,2016-04-01 00:00:00+00:00,1940.0,99.12371134020619
2011,M15,2016-05-01 00:00:00+00:00,1940.0,103.659793814433
2020,M15,2016-06-01 00:00:00+00:00,1940.0,104.1237113402062
1915,M15,2016-07-01 00:00:00+00:00,1940.0,98.71134020618557
2115,M15,2016-08-01 00:00:00+00:00,1940.0,109.02061855670102
1998,M15,2016-09-01 00:00:00+00:00,1940.0,102.98969072164948
1936,M15,2016-10-01 00:00:00+00:00,1940.0,99.79381443298969
1979,M15,2016-11-01 00:00:00+00:00,1940.0,102.0103092783505
1923,M15,2016-12-01 00:00:00+00:00,1940.0,99.12371134020619
1914,M15,2017-01-01 00:00:00+00:00,1940.0,98.65979381443299
1819,M15,2017-02-01 00:00:00+00:00,1940.0,93.76288659793815
2100,M15,2017-03-01 00:00:00+00:00,1940.0,108.24742268041237
1754,M15,2017-04-01 00:00:00+00:00,1940.0,90.41237113402062
2097,M15,2017-05-01 00:00:00+00:00,1940.0,108.09278350515463
2014,M15,2017-06-01 00:00:00+00:00,1940.0,103.81443298969073
1919,M15,2017-07-01 00:00:00+00:00,1940.0,98.91752577319588
2112,M15,2017-08-01 00:00:00+00:00,1940.0,108.8659793814433
1906,M15,2017-09-01 00:00:00+00:00,1940.0,98.24742268041237
2025,M15,2017-10-01 00:00:00+00:00,1940.0,104.38144329896907
1986,M15,2017-11-01 00:00:00+00:00,1940.0,102.37113402061854
1827,M15,2017-12-01 00:00:00+00:00,1940.0,94.17525773195877
2008,M15,2018-01-01 00:00:00+00:00,1940.0,103.50515463917527
1824,M15,2018-02-01 00:00:00+00:00,1940.0,94.02061855670102
1926,M15,2018-03-01 00:00:00+00:00,1940.0,99.27835051546393
1931,M15,2018-04-01 00:00:00+00:00,1940.0,99.5360824742268
2091,M15,2018-05-01 00:00:00+00:00,1940.0,107.78350515463917
1913,M15,2018-06-01 00:00:00+00:00,1940.0,98.60824742268042
2006,M15,2018-07-01 00:00:00+00:00,1940.0,103.40206185567011
2092,M15,2018-08-01 00:00:00+00:00,1940.0,107.83505154639175
1816,M15,2018-09-01 00:00:00+00:00,1940.0,93.6082474226804
2094,M15,2018-10-01 00:00:00+00:00,1940.0,107.9381443298969
1924,M15,2018-11-01 00:00:00+00:00,1940.0,99.17525773195877
1766,M15,2018-12-01 00:00:00+00:00,1940.0,91.03092783505154
1941,M15,2019-01-01 00:00:00+00:00,1940.0,100.05154639175258
1757,M15,2019-02-01 00:00:00+00:00,1940.0,90.56701030927834
1830,M15,2019-03-01 00:00:00+00:00,1940.0,94.3298969072165
1830,M15,2019-04-01 00:00:00+00:00,1940.0,94.3298969072165
2002,M15,2019-05-01 00:00:00+00:00,1940.0,103.1958762886598
1808,M15,2019-06-01 00:00:00+00:00,1940.0,93.19587628865979
2079,M15,2019-07-01 00:00:00+00:00,1940.0,107.16494845360825
1998,M15,2019-08-01 00:00:00+00:00,1940.0,102.98969072164948
1917,M15,2019-09-01 00:00:00+00:00,1940.0,98.81443298969073
2078,M15,2019-10-01 00:00:00+00:00,1940.0,107.11340206185567
1860,M15,2019-11-01 00:00:00+00:00,1940.0,95.87628865979381
1858,M15,2019-12-01 00:00:00+00:00,1940.0,95.77319587628867
1993,M15,2020-01-01 00:00:00+00:00,1940.0,102.73195876288659
1816,M15,2020-02-01 00:00:00+00:00,1940.0,93.6082474226804
2018,M15,2020-03-01 00:00:00+00:00,1940.0,104.02061855670104
1928,M15,2020-04-01 00:00:00+00:00,1940.0,99.38144329896907
1914,M15,2020-05-01 00:00:00+00:00,1940.0,98.65979381443299
2021,M15,2020-06-01 00:00:00+00:00,1940.0,104.17525773195877
2086,M15,2020-07-01 00:00:00+00:00,1940.0,107.52577319587628
1940,M15,2020-08-01 00:00:00+00:00,1940.0,100.0
2005,M15,2020-09-01 00:00:00+00:00,1940.0,103.35051546391753
2015,M15,2020-10-01 00:00:00+00:00,1940.0,103.86597938144331
1903,M15,2020-11-01 00:00:00+00:00,1940.0,98.09278350515463
2000,M15,2020-12-01 00:00:00+00:00,1940.0,103.09278350515463
1827,M15,2021-01-01 00:00:00+00:00,1940.0,94.17525773195877
1823,M15,2021-02-01 00:00:00+00:00,1940.0,93.96907216494846
2119,M15,2021-03-01 00:00:00+00:00,1940.0,109.22680412371133
1920,M15,2021-04-01 00:00:00+00:00,1940.0,98.96907216494846
1921,M15,2021-05-01 00:00:00+00:00,1940.0,99.02061855670104
2022,M15,2021-06-01 00:00:00+00:00,1940.0,104.22680412371135
2000,M15,2021-07-01 00:00:00+00:00,1940.0,103.09278350515463
2024,M15,2021-08-01 00:00:00+00:00,1940.0,104.32989690721651
2007,M15,2021-09-01 00:00:00+00:00,1940.0,103.4536082474227
1929,M15,2021-10-01 00:00:00+00:00,1940.0,99.43298969072166
1987,M15,2021-11-01 00:00:00+00:00,1940.0,102.42268041237112
2015,M15,2021-12-01 00:00:00+00:00,1940.0,103.86597938144331
1919,M15,2022-01-01 00:00:00+00:00,1940.0,98.91752577319588
1828,M15,2022-02-01 00:00:00+00:00,1940.0,94.22680412371133
2119,M15,2022-03-01 00:00:00+00:00,1940.0,109.22680412371133
1829,M15,2022-04-01 00:00:00+00:00,1940.0,94.27835051546391
2019,M15,2022-05-01 00:00:00+00:00,1940.0,104.07216494845362
2013,M15,2022-06-01 00:00:00+00:00,1940.0,103.76288659793815
1919,M15,2022-07-01 00:00:00+00:00,1940.0,98.91752577319588
2110,M15,2022-08-01 00:00:00+00:00,1940.0,108.76288659793813
2005,M15,2022-09-01 00:00:00+00:00,1940.0,103.35051546391753
1930,M15,2022-10-01 00:00:00+00:00,1940.0,99.48453608247422
1977,M15,2022-11-01 00:00:00+00:00,1940.0,101.90721649484536
1917,M15,2022-12-01 00:00:00+00:00,1940.0,98.81443298969073
1915,M15,2023-01-01 00:00:00+00:00,1940.0,98.71134020618557
1823,M15,2023-02-01 00:00:00+00:00,1940.0,93.96907216494846
2106,M15,2023-03-01 00:00:00+00:00,1940.0,108.55670103092783
1749,M15,2023-04-01 00:00:00+00:00,1940.0,90.15463917525773
2100,M15,2023-05-01 00:00:00+00:00,1940.0,108.24742268041237
1992,M15,2023-06-01 00:00:00+00:00,1940.0,102.68041237113401
1904,M15,2023-07-01 00:00:00+00:00,1940.0,98.14432989690721
2073,M15,2023-08-01 00:00:00+00:00,1940.0,106.85567010309278
1871,M15,2023-09-01 00:00:00+00:00,1940.0,96.44329896907216
2017,M15,2023-10-01 00:00:00+00:00,1940.0,103.96907216494846
1978,M15,2023-11-01 00:00:00+00:00,1940.0,101.95876288659792
1831,M15,2023-12-01 00:00:00+00:00,1940.0,94.38144329896907
2016,M15,2024-01-01 00:00:00+00:00,1940.0,103.91752577319589
1912,M15,2024-02-01 00:00:00+00:00,1940.0,98.55670103092784
1835,M15,2024-03-01 00:00:00+00:00,1940.0,94.58762886597938
2023,M15,2024-04-01 00:00:00+00:00,1940.0,104.27835051546393
2092,M15,2024-05-01 00:00:00+00:00,1940.0,107.83505154639175
1836,M15,2024-06-01 00:00:00+00:00,1940.0,94.63917525773195
2104,M15,2024-07-01 00:00:00+00:00,1940.0,108.45360824742268
2016,M15,2024-08-01 00:00:00+00:00,1940.0,103.91752577319589
1925,M15,2024-09-01 00:00:00+00:00,1940.0,99.22680412371135
2107,M15,2024-10-01 00:00:00+00:00,1940.0,108.6082474226804
1902,M15,2024-11-01 00:00:00+00:00,1940.0,98.04123711340206
1909,M15,2024-12-01 00:00:00+00:00,1940.0,98.4020618556701
2009,M15,2025-01-01 00:00:00+00:00,1940.0,103.55670103092784
1825,M15,2025-02-01 00:00:00+00:00,1940.0,94.0721649484536
1937,M15,2025-03-01 00:00:00+00:00,1940.0,99.84536082474227
1925,M15,2025-04-01 00:00:00+00:00,1940.0,99.22680412371135
2004,M15,2025-05-01 00:00:00+00:00,1940.0,103.29896907216497
1929,M15,2025-06-01 00:00:00+00:00,1940.0,99.43298969072166
2099,M15,2025-07-01 00:00:00+00:00,1940.0,108.19587628865979
1929,M15,2025-08-01 00:00:00+00:00,1940.0,99.43298969072166
2013,M15,2025-09-01 00:00:00+00:00,1940.0,103.76288659793815
2108,M15,2025-10-01 00:00:00+00:00,1940.0,108.65979381443299
1819,M15,2025-11-01 00:00:00+00:00,1940.0,93.76288659793815
1998,M15,2025-12-01 00:00:00+00:00,1940.0,102.98969072164948
1920,M15,2026-01-01 00:00:00+00:00,1940.0,98.96907216494846
1824,M15,2026-02-01 00:00:00+00:00,1940.0,94.02061855670102
2029,M15,2026-03-01 00:00:00+00:00,1940.0,104.58762886597938
