timeframe,feature_set,fold,cost_bps,selected_upper_threshold,selected_lower_threshold,validation_net_return,validation_sharpe,validation_max_drawdown,validation_turnover
M5,price_only,fold_1,0.0,0.52,0.48,0.15442229082392722,1.1016950424705663,-0.07365112121851558,1618.0
M5,price_only,fold_1,0.5,0.52,0.48,0.0647074192794268,0.4809578800600303,-0.09899176996600445,1618.0
M5,price_only,fold_1,1.0,0.52,0.48,-0.01803534315021804,-0.13953993411038285,-0.12481013019611376,1618.0
M5,price_only,fold_1,2.0,0.53,0.47,-0.12653414742048186,-1.1862382877302342,-0.15111665594661228,926.0
M5,price_only,fold_1,3.0,0.53,0.47,-0.12335630490875571,-1.376036224774597,-0.1534704758929808,601.0
M5,price_only,fold_1,5.0,0.53,0.47,-0.12525432744677223,-2.177398339540264,-0.15069861690498365,172.0
M5,price_only,fold_2,0.0,0.53,0.47,-0.04267815299972133,-0.28501478647419987,-0.12167192836226537,1381.0
M5,price_only,fold_2,0.5,0.53,0.47,-0.10655065235710992,-0.736223791567531,-0.1327561610138034,1381.0
M5,price_only,fold_2,1.0,0.53,0.47,-0.14373144199331578,-1.0286319651796691,-0.1573460798941747,1317.0
M5,price_only,fold_2,2.0,0.51,0.49,-0.14110657440477836,-2.0567042641002087,-0.15422225660889421,343.0
M5,price_only,fold_2,3.0,0.51,0.49,-0.1465448634081078,-2.3579680577765014,-0.1524207127604318,311.0
M5,price_only,fold_2,5.0,0.52,0.48,-0.1438634968465049,-2.169795447927161,-0.15668412280875232,302.0
M5,price_only,fold_3,0.0,0.52,0.48,0.15910107227066494,1.177698484509763,-0.1307964473989469,1501.0
M5,price_only,fold_3,0.5,0.52,0.48,0.07529470371622415,0.5789379723209938,-0.14980954577532368,1501.0
M5,price_only,fold_3,1.0,0.52,0.48,-0.007788835957138973,-0.06345922953451773,-0.16563172161341333,1441.0
M5,price_only,fold_3,2.0,0.52,0.48,-0.09199700283007806,-0.7960276432792827,-0.16319322253440816,1403.0
M5,price_only,fold_3,3.0,0.51,0.49,-0.12752270779760255,-1.9353669252609231,-0.15019118277515608,413.0
M5,price_only,fold_3,5.0,0.52,0.48,-0.14112208436974616,-1.629819375457118,-0.1531448297358161,637.0
M5,volume_assisted,fold_1,0.0,0.52,0.48,0.13687622577205727,0.9979202492202082,-0.09822278434282916,1629.0
M5,volume_assisted,fold_1,0.5,0.52,0.48,0.04794840045944726,0.3642754840022252,-0.11960891276815722,1629.0
M5,volume_assisted,fold_1,1.0,0.53,0.47,-0.03568440783766025,-0.2710334256509173,-0.13467041900765175,1506.0
M5,volume_assisted,fold_1,2.0,0.52,0.48,-0.08188750507009268,-0.8043244970883427,-0.15424187003580758,1013.0
M5,volume_assisted,fold_1,3.0,0.52,0.48,-0.12119641546314375,-1.2606188418671063,-0.15555585005380634,948.0
M5,volume_assisted,fold_1,5.0,0.51,0.49,-0.13214121194721118,-2.5790542824276526,-0.15180514185982374,186.0
M5,volume_assisted,fold_2,0.0,0.51,0.49,-0.02805895781784218,-0.20646080721812965,-0.11147069649670605,1753.0
M5,volume_assisted,fold_2,0.5,0.51,0.49,-0.10962284161168745,-0.8422418805467082,-0.12566147597695476,1753.0
M5,volume_assisted,fold_2,1.0,0.53,0.47,-0.12353880837842912,-1.0869527655474336,-0.15188170823114078,825.0
M5,volume_assisted,fold_2,2.0,0.53,0.47,-0.14075201751800037,-1.3878664679544903,-0.1602294763327904,624.0
M5,volume_assisted,fold_2,3.0,0.53,0.47,-0.13491525157394368,-1.3871819837624118,-0.15377119128917482,543.0
M5,volume_assisted,fold_2,5.0,0.53,0.47,-0.1426307030615861,-2.2657411232729423,-0.16137513031435036,248.0
M5,volume_assisted,fold_3,0.0,0.53,0.47,0.23643161558789094,1.6772770698112847,-0.07262396648839264,1391.0
M5,volume_assisted,fold_3,0.5,0.53,0.47,0.15336009239185833,1.127417671533125,-0.07487564321541085,1391.0
M5,volume_assisted,fold_3,1.0,0.53,0.47,0.07586985479149355,0.5775977635597914,-0.09045938877432058,1391.0
M5,volume_assisted,fold_3,2.0,0.53,0.47,-0.07553660418277042,-0.6295572236277083,-0.1501671787854888,1333.0
M5,volume_assisted,fold_3,3.0,0.52,0.48,-0.12217409845404781,-1.2389323692691943,-0.1503818555412476,1003.0
M5,volume_assisted,fold_3,5.0,0.53,0.47,-0.1507118260724034,-1.7941867920591215,-0.15301448794407424,530.0
M15,price_only,fold_1,0.0,0.53,0.47,0.03725976786335128,0.30265290616966883,-0.08375116640209623,1490.0
M15,price_only,fold_1,0.5,0.53,0.47,-0.03720773092855145,-0.31362626946665784,-0.11441852165169564,1490.0
M15,price_only,fold_1,1.0,0.53,0.47,-0.14578492171859303,-1.5015341977882513,-0.15158925965259418,1015.0
M15,price_only,fold_1,2.0,0.52,0.48,-0.134654474533897,-1.7565234756420238,-0.15122506637985644,593.0
M15,price_only,fold_1,3.0,0.52,0.48,-0.14256109352465063,-2.1571492895428923,-0.15135456728711982,437.0
M15,price_only,fold_1,5.0,0.52,0.48,-0.13472541782714953,-2.3658377683974114,-0.15014760574114216,251.0
M15,price_only,fold_2,0.0,0.51,0.49,0.1480445068162577,0.9950531557812622,-0.07138924214987641,1622.0
M15,price_only,fold_2,0.5,0.51,0.49,0.0586135350368413,0.4104192486544923,-0.08416416975930774,1622.0
M15,price_only,fold_2,1.0,0.51,0.49,-0.023850896102447283,-0.1738333961947474,-0.1324882522097236,1622.0
M15,price_only,fold_2,2.0,0.51,0.49,-0.0768595621939091,-0.6730401918176937,-0.1501843770459993,1162.0
M15,price_only,fold_2,3.0,0.51,0.49,-0.11426280601521899,-1.223004738844998,-0.15052407432735238,718.0
M15,price_only,fold_2,5.0,0.52,0.48,-0.14473954749549078,-2.1518287796486706,-0.15703896678425933,277.0
M15,price_only,fold_3,0.0,0.53,0.47,0.25058056257527306,1.8556355109064768,-0.08805911608885775,1374.0
M15,price_only,fold_3,0.5,0.53,0.47,0.16755041722936337,1.2851738866156832,-0.10412201201649374,1374.0
M15,price_only,fold_3,1.0,0.53,0.47,0.09003291556469417,0.7148157180210114,-0.12168264441292076,1374.0
M15,price_only,fold_3,2.0,0.53,0.47,-0.07458832641567537,-0.6673299342013408,-0.15912647810721148,1282.0
M15,price_only,fold_3,3.0,0.53,0.47,-0.10226712350420952,-0.9937684654798539,-0.15082356963256338,1089.0
M15,price_only,fold_3,5.0,0.53,0.47,-0.15191618352487546,-1.6516196089085036,-0.15323412181834684,768.0
M15,volume_assisted,fold_1,0.0,0.53,0.47,0.1074245263936171,0.8274857762069538,-0.09493574582084663,1453.0
M15,volume_assisted,fold_1,0.5,0.53,0.47,0.029823133954002046,0.2382733032531154,-0.11170318322006312,1453.0
M15,volume_assisted,fold_1,1.0,0.53,0.47,-0.042340437699596944,-0.3506023861887471,-0.14113729557984112,1453.0
M15,volume_assisted,fold_1,2.0,0.53,0.47,-0.12669888378079952,-1.3171140982272784,-0.15089349306417366,972.0
M15,volume_assisted,fold_1,3.0,0.53,0.47,-0.13704922373649397,-1.7618336681785025,-0.15559080901800737,575.0
M15,volume_assisted,fold_1,5.0,0.53,0.47,-0.131403129811425,-2.4664906768517736,-0.15511787102428587,212.0
M15,volume_assisted,fold_2,0.0,0.51,0.49,0.07924065099790267,0.5644136321115945,-0.11360273324890224,1560.0
M15,volume_assisted,fold_2,0.5,0.51,0.49,-0.0017407901472489273,-0.012892038344545971,-0.13790520772910297,1560.0
M15,volume_assisted,fold_2,1.0,0.51,0.49,-0.06870771075053062,-0.554218616564178,-0.1507312180936322,1369.0
M15,volume_assisted,fold_2,2.0,0.51,0.49,-0.124415915404959,-1.1609068326727634,-0.15132616492842732,1173.0
M15,volume_assisted,fold_2,3.0,0.51,0.49,-0.14092914029888326,-1.6787248794246368,-0.15488919343718066,749.0
M15,volume_assisted,fold_2,5.0,0.52,0.48,-0.14201609185951125,-2.7467646219175226,-0.15743723243778884,248.0
M15,volume_assisted,fold_3,0.0,0.53,0.47,0.13634140517674842,1.0732527619365857,-0.06481170267934133,1361.0
M15,volume_assisted,fold_3,0.5,0.53,0.47,0.061585778729884355,0.5017772844352398,-0.08060863206677227,1361.0
M15,volume_assisted,fold_3,1.0,0.53,0.47,-0.008251956262875781,-0.06954277348529218,-0.10870392849420252,1361.0
M15,volume_assisted,fold_3,2.0,0.52,0.48,-0.10550160238813411,-1.0852407678832474,-0.15049000631894172,1076.0
M15,volume_assisted,fold_3,3.0,0.52,0.48,-0.12773663253827205,-1.5271916874879805,-0.15002612836992546,651.0
M15,volume_assisted,fold_3,5.0,0.52,0.48,-0.14461391505952648,-1.9731382464150002,-0.15487381417491985,478.0
