model_family,track,feature_set,mode,fold,split,rows,training_target_prevalence,roc_auc,accuracy,balanced_accuracy,f1,brier,baseline_brier,log_loss,baseline_log_loss,brier_improvement_vs_baseline,log_loss_improvement_vs_baseline
lightgbm,vanilla_price_only,price_only,vanilla,1,validation,23314,0.4988390799599982,0.5353285759618311,0.5208887363815733,0.5208069408327186,0.5058833937892595,0.2489706415789359,0.2499980612670095,0.6910809645740166,0.6931433030894184,0.0010274196880735,0.0020623385154018
lightgbm,vanilla_price_only,price_only,vanilla,1,test,23290,0.4988390799599982,0.5220586001039728,0.5117217689995707,0.511776010428663,0.5113441045032657,0.2499393232667245,0.2499884873931185,0.6930343394837214,0.6931241553072282,4.916412639399681e-05,8.981582350675588e-05
lightgbm,vanilla_price_only,price_only,vanilla,2,validation,23290,0.4987961737847862,0.5225266972228446,0.5126663804207815,0.5129195807836991,0.5208948923596454,0.2500278494392056,0.2499881135529225,0.693215548319629,0.6931234076226547,-3.973588628308766e-05,-9.21406969742744e-05
lightgbm,vanilla_price_only,price_only,vanilla,2,test,22985,0.4987961737847862,0.5259111370486612,0.5175549271263867,0.5172293908896564,0.4987116314813977,0.2497019037107301,0.2499893507048127,0.6925579962742654,0.6931258819312163,0.0002874469940825,0.0005678856569508
lightgbm,vanilla_price_only,price_only,vanilla,3,validation,22985,0.4981713995754924,0.5276857964310333,0.5200783119425713,0.5194617972820131,0.4858541132603123,0.2493757799497021,0.2499849662855789,0.6918962938334364,0.6931171130119582,0.0006091863358768,0.0012208191785217
lightgbm,vanilla_price_only,price_only,vanilla,3,test,23382,0.4981713995754924,0.5173954585592483,0.5102643058763151,0.5114244951232467,0.4869393790044357,0.2501144274475208,0.2500411952295792,0.6933792751151391,0.693229571401342,-7.323221794158785e-05,-0.000149703713797
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,validation,23314,0.4988390799599982,0.5341731098809166,0.5213605558891653,0.5212936995932429,0.5090413128602226,0.2490573711974836,0.2499980612670095,0.6912565126759946,0.6931433030894184,0.0009406900695259,0.0018867904134237
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,test,23290,0.4988390799599982,0.5200623744997617,0.5100042936882783,0.5101249224644313,0.5125576627370579,0.2500525758228578,0.2499884873931185,0.6932609734884668,0.6931241553072282,-6.408842973928963e-05,-0.0001368181812386
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,validation,23290,0.4987961737847862,0.5243593038227831,0.5157578359811078,0.5159695540765935,0.5221591390560122,0.2501601485262584,0.2499881135529225,0.6934969021784633,0.6931234076226547,-0.0001720349733358,-0.0003734945558085
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,test,22985,0.4987961737847862,0.5223339984844948,0.5125516641287796,0.5123502493665657,0.4999553690975631,0.2500538220091164,0.2499893507048127,0.6932703569198114,0.6931258819312163,-6.447130430375925e-05,-0.0001444749885951
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,3,validation,22985,0.4981713995754924,0.528746969580314,0.5197737654992386,0.5193316976947033,0.4949208382904731,0.2493666603238649,0.2499849662855789,0.6918795335553659,0.6931171130119582,0.0006183059617139,0.0012375794565923
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,3,test,23382,0.4981713995754924,0.5186093502797964,0.5130014541099992,0.5139803702239826,0.494472807991121,0.2500543017014544,0.2500411952295792,0.6932600923352171,0.693229571401342,-1.3106471875135028e-05,-3.0520933875122225e-05
lightgbm,tuned_price_only,price_only,tuned,1,validation,23314,0.4988390799599982,0.5341483167771232,0.5204169168739813,0.5202587402130161,0.4912408426991855,0.2491144133548236,0.2499980612670095,0.691373046463843,0.6931433030894184,0.0008836479121859,0.0017702566255753
lightgbm,tuned_price_only,price_only,tuned,1,test,23290,0.4988390799599982,0.5207269103014731,0.5135251180764276,0.5133598069890191,0.503288031565103,0.249678299295185,0.2499884873931185,0.6925036001409496,0.6931241553072282,0.0003101880979335,0.0006205551662785
lightgbm,tuned_price_only,price_only,tuned,2,validation,23290,0.4987961737847862,0.5217423585315499,0.5122799484757407,0.5124346313130238,0.5162883788272368,0.2502786682581226,0.2499881135529225,0.6937291066046938,0.6931234076226547,-0.0002905547052001,-0.0006056989820391
lightgbm,tuned_price_only,price_only,tuned,2,test,22985,0.4987961737847862,0.5267940408626663,0.5206874048292365,0.5203333240550188,0.5004760825209703,0.2497080610194382,0.2499893507048127,0.6925697662075011,0.6931258819312163,0.0002812896853744,0.0005561157237151
lightgbm,tuned_price_only,price_only,tuned,3,validation,22985,0.4981713995754924,0.5242003859698072,0.5165107678921036,0.5160451942561034,0.4902527406999679,0.2499929037740324,0.2499849662855789,0.6931509943838685,0.6931171130119582,-7.93748845348552e-06,-3.388137191029372e-05
lightgbm,tuned_price_only,price_only,tuned,3,test,23382,0.4981713995754924,0.518015627138559,0.5104353776409204,0.511228976013973,0.4964588923591255,0.2507103628545082,0.2500411952295792,0.6946075409874728,0.693229571401342,-0.0006691676249289,-0.0013779695861307
lightgbm,tuned_volume_assisted,volume_assisted,tuned,1,validation,23314,0.4988390799599982,0.5327142097674673,0.5197306339538474,0.5196353507712723,0.502244943320738,0.2491533663139872,0.2499980612670095,0.6914509135320649,0.6931433030894184,0.0008446949530222,0.0016923895573535
lightgbm,tuned_volume_assisted,volume_assisted,tuned,1,test,23290,0.4988390799599982,0.5224029707222506,0.5155002146844139,0.5154673908688898,0.5112612612612613,0.2496382757001434,0.2499884873931185,0.6924235361828719,0.6931241553072282,0.0003502116929751,0.0007006191243562
lightgbm,tuned_volume_assisted,volume_assisted,tuned,2,validation,23290,0.49879617378478625,0.5197100460313324,0.5107342206955775,0.5109981250449519,0.5194618985366677,0.250357536919229,0.2499881135529225,0.6938840827144477,0.6931234076226547,-0.0003694233663065205,-0.0007606750917930061
lightgbm,tuned_volume_assisted,volume_assisted,tuned,2,test,22985,0.49879617378478625,0.524256707055301,0.5166847944311508,0.51643438370921,0.5016821423765307,0.24991432434611544,0.2499893507048127,0.6929858802297296,0.6931258819312163,7.502635869727214e-05,0.00014000170148664726
lightgbm,tuned_volume_assisted,volume_assisted,tuned,3,validation,22985,0.49817139957549245,0.5264135820107394,0.518816619534479,0.51839194653607,0.4948387686124052,0.2496647308739905,0.24998496628557898,0.6924816222955282,0.6931171130119582,0.00032023541158848756,0.0006354907164299872
lightgbm,tuned_volume_assisted,volume_assisted,tuned,3,test,23382,0.49817139957549245,0.518528103569968,0.513258061756907,0.5141042385186156,0.49808158765159866,0.25037229439172537,0.25004119522957924,0.6939084152048445,0.693229571401342,-0.0003310991621461312,-0.0006788438035024713
