model_family,track,feature_set,mode,fold,split,sequence_length,rows,training_target_prevalence,roc_auc,accuracy,balanced_accuracy,f1,brier,baseline_brier,log_loss,baseline_log_loss,brier_improvement_vs_baseline,log_loss_improvement_vs_baseline
cnn_lstm,vanilla_price_only,price_only,vanilla,1,validation,48,11016,0.49883907995999827,0.5314852596068382,0.5171568627450981,0.5170648293166022,0.49692613260191054,0.24939756775921904,0.24999860772798269,0.6919447852629762,0.6931443960133287,0.0006010399687636503,0.0011996107503524644
cnn_lstm,vanilla_price_only,price_only,vanilla,1,test,48,11021,0.49883907995999827,0.5214391102349264,0.5160148806823337,0.5159887359920327,0.5124314442413163,0.2502561847717513,0.2499928154312616,0.6936789774348885,0.6931328113990691,-0.00026336934048973304,-0.0005461660358193621
cnn_lstm,vanilla_price_only,price_only,vanilla,2,validation,48,11021,0.49879617378478625,0.5219305479487695,0.5132928046456764,0.5135772924291521,0.5297211993687533,0.24983796879949022,0.24999260155002603,0.6928280295715487,0.693132383634206,0.00015463275053581582,0.00030435406265738596
cnn_lstm,vanilla_price_only,price_only,vanilla,2,test,48,10445,0.49879617378478625,0.527579319943168,0.5168022977501197,0.516602494518545,0.5040778225410238,0.24942420580069388,0.24998980856110486,0.691993194037651,0.69312679764557,0.0005656027604109826,0.0011336036079189205
cnn_lstm,vanilla_price_only,price_only,vanilla,3,validation,48,10445,0.49817139957549245,0.5180767928783693,0.5095260890378172,0.5095033704219822,0.5059311409007619,0.2501167867222215,0.2499856617648763,0.6933866632107893,0.6931185039767543,-0.0001311249573451856,-0.00026815923403500364
cnn_lstm,vanilla_price_only,price_only,vanilla,3,test,48,11005,0.49817139957549245,0.5120312584779706,0.5079509313948205,0.508341612624096,0.5049821738732974,0.25060850158958714,0.25004438551552827,0.6943766393746862,0.6932359520016872,-0.0005641160740588735,-0.0011406873729989941
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,1,validation,48,11016,0.49883907995999827,0.528954316045988,0.5213326071169209,0.521054624917121,0.4566718186501803,0.24965765854217045,0.24999860772798269,0.6924656345382431,0.6931443960133287,0.00034094918581223377,0.0006787614750856097
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,1,test,48,11021,0.49883907995999827,0.520861995318794,0.514653842664005,0.5141667904427517,0.4780954239437994,0.25007193902675673,0.2499928154312616,0.6932994886808994,0.6931328113990691,-7.91235954951397e-05,-0.0001666772818302853
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,2,validation,48,11021,0.49879617378478625,0.520903722405206,0.5114780872879049,0.5116250938200769,0.5192857142857142,0.24997967213290653,0.24999260155002603,0.6931128624980372,0.693132383634206,1.2929417119500464e-05,1.9521136168876296e-05
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,2,test,48,10445,0.49879617378478625,0.5244774155546452,0.5147917663954045,0.5146426974288166,0.5046911649726349,0.24966109776562936,0.24998980856110486,0.6924689776237134,0.69312679764557,0.00032871079547550086,0.0006578200218565478
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,3,validation,48,10445,0.49817139957549245,0.5301273036668144,0.5168022977501197,0.51842828948536,0.5845748621285702,0.24958329443812696,0.2499856617648763,0.6923141155137847,0.6931185039767543,0.0004023673267493366,0.0008043884629695963
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,3,test,48,11005,0.49817139957549245,0.5061592570070954,0.5114039073148569,0.5070827837212655,0.5941580496641256,0.25030679609498657,0.25004438551552827,0.6937674619483577,0.6932359520016872,-0.00026241057945830537,-0.0005315099466705053
cnn_lstm,tuned_price_only,price_only,tuned,1,validation,48,11016,0.49883907995999827,0.5352066120605928,0.5239651416122004,0.5236085430449278,0.43842364532019706,0.24931295850286128,0.24999860772798269,0.6917741112641995,0.6931443960133287,0.0006856492251214041,0.001370284749129147
cnn_lstm,tuned_price_only,price_only,tuned,1,test,48,11021,0.49883907995999827,0.5244731173163456,0.5183740132474367,0.5173996516265824,0.4423198150872032,0.25005400119545673,0.2499928154312616,0.6932753362911,0.6931328113990691,-6.118576419514299e-05,-0.00014252489203092633
cnn_lstm,tuned_price_only,price_only,tuned,2,validation,32,15158,0.49879617378478625,0.5228374128029047,0.5147776751550337,0.5154036014654892,0.5562594268476622,0.25034542259095904,0.24999366618072766,0.6938613410564435,0.6931345128997234,-0.00035175641023138526,-0.000726828156720094
cnn_lstm,tuned_price_only,price_only,tuned,2,test,32,14555,0.49879617378478625,0.5257262904482051,0.5182411542425284,0.518488706365503,0.5470284237726099,0.24978539073367786,0.24999690021495,0.6927203733008337,0.6931409809806662,0.00021150948127213187,0.0004206076798325409
cnn_lstm,tuned_price_only,price_only,tuned,3,validation,48,10445,0.49817139957549245,0.5270871110234998,0.5150789851603638,0.5145383044765839,0.48363747578754207,0.2493839052999078,0.2499856617648763,0.6919169807731593,0.6931185039767543,0.0006017564649684892,0.0012015232035950119
cnn_lstm,tuned_price_only,price_only,tuned,3,test,48,11005,0.49817139957549245,0.5138760318382101,0.5079509313948205,0.5092720786759638,0.48344939425736905,0.25049984946123643,0.25004438551552827,0.6941645154983536,0.6932359520016872,-0.00045546394570816773,-0.0009285634966663681
cnn_lstm,tuned_volume_assisted,volume_assisted,tuned,1,validation,64,6909,0.49883907995999827,0.5264362557045483,0.5203357938920249,0.5206692359131384,0.4621876014281078,0.2505265449462962,0.2500048763676797,0.6942514874485173,0.6931569333152521,-0.0005216685786165187,-0.001094554133265202
cnn_lstm,tuned_volume_assisted,volume_assisted,tuned,1,test,64,6909,0.49883907995999827,0.5175635857768988,0.5103488203792155,0.509617186386987,0.4619055193255925,0.2508049257309444,0.24999143395876375,0.6948017907730003,0.6931300484491085,-0.0008134917721806245,-0.0016717423238917783
cnn_lstm,tuned_volume_assisted,volume_assisted,tuned,2,validation,64,6909,0.49879617378478625,0.5126131135451323,0.507309306701404,0.506722074635246,0.4684572142410993,0.25001952575013364,0.2499911690200058,0.6931922630121875,0.6931295185686294,-2.8356730127854224e-05,-6.274444355813813e-05
cnn_lstm,tuned_volume_assisted,volume_assisted,tuned,2,test,64,6371,0.49879617378478625,0.5360837721948832,0.5175011772092293,0.5167730755630299,0.46871759419287934,0.24876551340741182,0.24999143463321705,0.690667963602736,0.6931300497960784,0.0012259212258052266,0.0024620861933424276
cnn_lstm,tuned_volume_assisted,volume_assisted,tuned,3,validation,48,10445,0.49817139957549245,0.521474770639847,0.510387745332695,0.5104956534837473,0.5134157944814463,0.24974780177685396,0.2499856617648763,0.6926418122101297,0.6931185039767543,0.00023785998802233754,0.0004766917666246817
cnn_lstm,tuned_volume_assisted,volume_assisted,tuned,3,test,48,11005,0.49817139957549245,0.5149160402923061,0.5095865515674693,0.5096148489137657,0.5145273005307187,0.2503566929266067,0.25004438551552827,0.6938704793838787,0.6932359520016872,-0.0003123074110784607,-0.0006345273821914965
