model_family,model_family_key,track,feature_set,mode,display_name,mean_net_return_0bps,mean_net_return_0_5bps,mean_net_return_1bps,mean_net_return_2bps,mean_gross_return_1bps,mean_sharpe_1bps,mean_sortino_1bps,mean_max_drawdown_1bps,mean_turnover_units_per_day_1bps,mean_position_change_events_per_day_1bps,mean_trade_count_1bps,mean_active_rate_1bps,mean_profit_factor_1bps,positive_fold_rate_1bps,positive_fold_count_1bps,active_fold_count,stay_flat_fold_count,selected_trade_rate,all_stay_flat,worst_fold_net_return_1bps,best_fold_net_return_1bps,std_fold_net_return_1bps,drawdown_stop_count_1bps,mean_roc_auc,std_roc_auc,mean_balanced_accuracy,mean_brier_improvement_vs_baseline,mean_log_loss_improvement_vs_baseline,mean_validation_selected_net_return,mean_net_return_decay,mean_absolute_validation_to_test_decay,breakeven_cost_bps,criterion_positive_1bps,criterion_positive_0_5bps,criterion_minimum_active_folds,criterion_minimum_positive_folds,criterion_drawdown,criterion_not_all_stay_flat,strictly_eligible
LightGBM,lightgbm,vanilla_price_only,price_only,vanilla,LightGBM | vanilla price only,-0.0031209429708421,-0.0681685481628665,-0.095495869279385,-0.1354020446552382,-0.0120381178854657,-1.3795792223577752,-0.8824954532185588,-0.1357120040874872,2.395414424500297,1.7833078817150838,433.0,0.3931148467030738,0.9471300775070924,0.0,0,3,0,1.0,False,-0.1413030292683486,-0.0112033667054557,0.07309118787621585,2,0.5217883985706274,0.0042642644952241,0.5134766321471887,8.779296751163631e-05,0.0001693325888868,0.1174475648075239,-0.212943434086909,0.21294343408690897,0.0,False,False,True,False,True,True,False
LightGBM,lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,LightGBM | vanilla volume assisted,-0.0606574895543386,-0.0739450465301613,-0.0822065923723309,-0.0889006168763807,-0.0338878323124078,-1.0008238729643262,-0.7832164227704504,-0.1001471319950394,1.4421935405314903,1.055584304891784,261.0,0.3225022943926179,0.6338984355359264,0.0,0,2,1,0.6666666666666666,False,-0.1456697246646164,0.0,0.07462174711701329,2,0.5203352410880177,0.0018772568267103,0.5121518473516599,-4.722206863939464e-05,-0.0001039380345696,0.0774120590923691,-0.1596186514647001,0.1596186514647001,0.0,False,False,True,False,True,True,False
LightGBM,lightgbm,tuned_price_only,price_only,tuned,LightGBM | tuned price only,-0.0138169282092862,-0.0433425451344954,-0.0725627415014064,-0.1195233043187238,-0.0005328924204248,-1.2453657445587176,-0.5561834811494557,-0.1334059120687373,1.9507579677939788,1.3819276035342518,352.3333333333333,0.3817415891886253,0.9356358451598172,0.3333333333333333,1,3,0,1.0,False,-0.1541391197470034,0.0233513282926289,0.0896096637396379,2,0.5218455261008995,0.0044948429180499,0.5149740356860036,-2.589661387366668e-05,-6.709956537903324e-05,0.082726763998716,-0.1552895055001225,0.15528950550012252,0.0,False,False,True,True,True,True,False
LightGBM,lightgbm,tuned_volume_assisted,volume_assisted,tuned,LightGBM | tuned volume assisted,-0.0006651861402021,-0.0371609438662947,-0.0616945620076145,-0.0939892465676652,0.0132406834310145,-0.7564533947105527,-0.5915640032289793,-0.0931166572097769,2.147945775369598,1.8236811664789505,389.3333333333333,0.2199698875009109,0.6413239422847018,0.0,0,2,1,0.6666666666666666,False,-0.1063702892663382,0.0,0.05518958381622983,1,0.5217292604491732,0.0029231213833982,0.5153353376989052,3.137962984208031e-05,5.3925674113458654e-05,0.081020375901132,-0.1427149379087466,0.14271493790874656,0.0,False,False,True,False,True,True,False
LSTM,lstm,vanilla_price_only,price_only,vanilla,LSTM | vanilla price only,0.020215390554275,-0.0257252424590236,-0.0577699150358042,-0.0898379450479334,0.0271482109936753,-1.2115739927075075,-1.0599726275357264,-0.1000050915567527,2.297050374474197,1.5976479942546424,414.3333333333333,0.3880732703933061,0.6325865014112898,0.0,0,2,1,0.6666666666666666,False,-0.1490118805412674,0.0,0.0799463492449392,1,0.5221271866168137,0.0054116323185524,0.5136572278548704,-0.0004129658279969,-0.0008540984764532,0.0520482452174966,-0.1098181602533008,0.10981816025330081,0.22001645632988098,False,False,True,False,True,True,False
LSTM,lstm,vanilla_volume_assisted,volume_assisted,vanilla,LSTM | vanilla volume assisted,0.0311923705306663,-0.0042532701066666,-0.0385864364859411,-0.0823807480670636,0.0315391574619643,-0.5719390816410602,-0.6755244326313448,-0.0715869402355936,1.9583743716015185,1.4156124961526624,353.3333333333333,0.5109565478857855,0.6545355242786857,0.3333333333333333,1,2,1,0.6666666666666666,False,-0.1218209394735911,0.0060616300157676,0.07214688285236474,0,0.5156594623453415,0.0032340525367365,0.5103082287837268,-0.0006620321204519,-0.0013450311897852,0.0299821232453771,-0.0685685597313183,0.06856855973131826,0.4400029167171143,False,False,True,True,True,True,False
LSTM,lstm,tuned_price_only,price_only,tuned,LSTM | tuned price only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0.0,True,0.0,0.0,0.0,0,0.5188444937221931,0.0050736807700359,0.5117909061132803,-0.000153278527877,-0.0003180184702498,0.0,0.0,0.0,5.0,False,False,False,False,True,False,False
LSTM,lstm,tuned_volume_assisted,volume_assisted,tuned,LSTM | tuned volume assisted,-0.0372926404141764,-0.0629499741205899,-0.0803534281436436,-0.0983614423052393,-0.0168077070616361,-1.417921566715238,-1.2209606256784058,-0.102901145898911,1.887593477621179,1.5403843617140016,341.6666666666667,0.2892887899972466,0.6253056118281385,0.0,0,2,1,0.6666666666666666,False,-0.1242719644934374,0.0,0.06968863820442112,2,0.5192332389715943,0.007697293322565,0.5131371918744175,-0.0004448919680261,-0.0009144828905928,0.1148057794935217,-0.1951592076371653,0.19515920763716532,0.0,False,False,True,False,True,True,False
CNN-LSTM,cnn_lstm,vanilla_price_only,price_only,vanilla,CNN-LSTM | vanilla price only,-0.0534773753688779,-0.0697561570062814,-0.0854704532722986,-0.0983575790488234,-0.0459788064951881,-2.036234790111582,-1.4274990091555566,-0.1003696153338607,1.189106904688622,0.8698984302862419,214.33333333333331,0.3123329503373363,0.5903344696732354,0.0,0,2,1,0.6666666666666666,False,-0.147690557560014,0.0,0.07654122578078845,1,0.5203498962186883,0.0078310500069445,0.5136442810448912,-8.729421804587467e-05,-0.0001844166002998,0.0534708019360403,-0.138941255208339,0.13894125520833897,0.0,False,False,True,False,True,True,False
CNN-LSTM,cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,CNN-LSTM | vanilla volume assisted,0.1037137776297017,0.0656652103486629,0.02257780197882,-0.0188553633347415,0.0865621230342533,-0.0397171178647076,0.1690414210335281,-0.095157824462568,1.5890273930440135,1.180440135426285,286.6666666666667,0.4342865927497278,0.6624218246327819,0.3333333333333333,1,2,1,0.6666666666666666,False,-0.1297952970346481,0.1975287029711081,0.1648258720637879,1,0.5171662226268449,0.0097022051610038,0.5119640905309446,-4.274459825981403e-06,-1.3455735548080956e-05,0.0271598987313197,-0.0045820967524997,0.11333223016501466,1.5449210024856597,True,True,True,True,True,True,True
CNN-LSTM,cnn_lstm,tuned_price_only,price_only,tuned,CNN-LSTM | tuned price only,0.0391134729293471,0.0214526020791235,0.0033573343451719,-0.0289883693689072,0.0405203907226123,0.0458561815040047,0.0546218607196702,-0.0431655752872852,0.9667590027700832,0.7100646352723915,174.66666666666666,0.2589601669539969,0.3343329654912379,0.3333333333333333,1,1,2,0.3333333333333333,False,0.0,0.0100720030355159,0.005815073663833832,0,0.5213584798675869,0.0065102136761282,0.5150534788893498,-0.0001017134095437,-0.0002168269029549,0.0187981805062838,-0.0154408461611118,0.015440846161111866,1.103795371862958,True,True,False,True,True,True,False
CNN-LSTM,cnn_lstm,tuned_volume_assisted,volume_assisted,tuned,CNN-LSTM | tuned volume assisted,0.0149088474001424,-0.0134145923275915,-0.0487577071987139,-0.0647228175640278,-0.0027710481682747,-0.9757048473553342,-0.9925126114294271,-0.0608388397200377,1.348921448921449,0.9257834757834758,244.66666666666663,0.2756846610606095,0.6404711535621791,0.0,0,2,1,0.6666666666666666,False,-0.1392748426454592,0.0,0.07846819632297669,1,0.5228544660880293,0.01153313831205,0.5120017036212609,3.337401418204711e-05,5.193882908638425e-05,0.0128492778434191,-0.0616069850421331,0.06160698504213313,0.2631892090695445,False,False,True,False,True,True,False
