model_family,track,feature_set,mode,fold,cost_bps,selected_action,upper_threshold,lower_threshold,min_hold_bars,max_position_change_events_per_day,net_return,gross_return,sharpe,sortino,max_drawdown,turnover_units,turnover_units_per_day,position_change_events,position_change_events_per_day,trade_count,active_rate,win_rate,profit_factor,daily_loss_stop_triggered_count,total_drawdown_stop_triggered,model_family_display,display_name
LightGBM,vanilla_price_only,price_only,vanilla,1,1.0,trade,0.52,0.48,3.0,3.0,-0.0112033667054557,0.110969883662771,-0.0905275421287746,-0.104988453764,-0.1052496749230991,1165.0,3.227146814404432,843,2.335180055401662,583,0.6969944182052383,0.4829408938010572,0.9979429379876732,4,False,LightGBM,LightGBM | vanilla price only
LightGBM,vanilla_price_only,price_only,vanilla,2,1.0,trade,0.51,0.49,1.0,5.0,-0.1339812118643508,-0.0599748749966142,-1.886718939479208,-1.3088898137218956,-0.1513596282192624,820.0,2.2777777777777777,573,1.5916666666666666,410,0.2929736784859691,0.4771551724137931,0.934852700700147,4,True,LightGBM,LightGBM | vanilla price only
LightGBM,vanilla_price_only,price_only,vanilla,3,1.0,trade,0.55,0.45,2.0,5.0,-0.1413030292683486,-0.087109362322554,-2.1614911854653425,-1.2336080921697812,-0.1505267091201001,612.0,1.6813186813186811,518,1.4230769230769231,306,0.1893764434180138,0.4618966977138019,0.9085945938334572,3,True,LightGBM,LightGBM | vanilla price only
LightGBM,vanilla_volume_assisted,volume_assisted,vanilla,1,1.0,trade,0.53,0.47,3.0,3.0,-0.1009500524523764,0.0003833864273041,-0.8463903758819813,-0.938979536055738,-0.1502716730148174,1068.0,2.958448753462604,806,2.2326869806094183,534,0.6983254615714899,0.4848303512656334,0.98103996277344,7,True,LightGBM,LightGBM | vanilla volume assisted
LightGBM,vanilla_volume_assisted,volume_assisted,vanilla,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,LightGBM,LightGBM | vanilla volume assisted
LightGBM,vanilla_volume_assisted,volume_assisted,vanilla,3,1.0,trade,0.51,0.49,2.0,3.0,-0.1456697246646164,-0.1020468833645276,-2.156081243010997,-1.4106697322556134,-0.1501697229703009,498.0,1.3681318681318682,340,0.934065934065934,249,0.2691814216063639,0.4828655605520235,0.9206553438343392,3,True,LightGBM,LightGBM | vanilla volume assisted
LightGBM,tuned_price_only,price_only,tuned,1,1.0,trade,0.55,0.45,3.0,3.0,-0.1541391197470034,-0.1332462579086355,-2.9048984124831616,-1.0947110322285016,-0.1543478094735534,244.0,0.6759002770083102,195,0.5401662049861495,122,0.0949334478316874,0.4705882352941176,0.835126938416299,2,True,LightGBM,LightGBM | tuned price only
LightGBM,tuned_price_only,price_only,tuned,2,1.0,trade,0.51,0.49,1.0,3.0,0.0233513282926289,0.1628604296403253,0.2206079476875842,0.247181185094753,-0.093523347054592,1278.0,3.55,850,2.361111111111111,639,0.679878181422667,0.4872244488977956,1.005304293526085,4,False,LightGBM,LightGBM | tuned price only
LightGBM,tuned_price_only,price_only,tuned,3,1.0,trade,0.53,0.47,1.0,3.0,-0.0869004330498449,-0.0312128489929642,-1.0518067688805754,-0.8210205963146185,-0.1523465796780666,592.0,1.6263736263736264,453,1.2445054945054943,296,0.3704131383115217,0.4860285040960611,0.966476303537068,3,True,LightGBM,LightGBM | tuned price only
LightGBM,tuned_volume_assisted,volume_assisted,tuned,1,1.0,trade,0.55,0.45,3.0,5.0,-0.0787133967565054,0.0335669685697537,-1.0858751345296125,-0.693876199304303,-0.1292610149927454,1150.0,3.185595567867036,1018,2.8199445983379503,575,0.2174753112924001,0.4527195165303946,0.9573011354195397,3,False,LightGBM,LightGBM | tuned volume assisted
LightGBM,tuned_volume_assisted,volume_assisted,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,LightGBM,LightGBM | tuned volume assisted
LightGBM,tuned_volume_assisted,volume_assisted,tuned,3,1.0,trade,0.53,0.47,2.0,5.0,-0.1063702892663382,0.0061550817232898,-1.1834850496020457,-1.0808158103826349,-0.1500889566365852,1186.0,3.258241758241758,965,2.651098901098901,593,0.4424343512103327,0.4699150978220746,0.966670691434566,1,True,LightGBM,LightGBM | tuned volume assisted
LSTM,vanilla_price_only,price_only,vanilla,1,1.0,trade,0.51,0.49,1.0,5.0,-0.0242978645661451,0.1765684067120754,-0.3354200436873597,-0.3781018479702989,-0.1479693967933231,1872.0,5.185595567867036,1278,3.540166204986149,936,0.7304237365030396,0.4777985510633326,0.9923852285554668,1,False,LSTM,LSTM | vanilla price only
LSTM,vanilla_price_only,price_only,vanilla,2,1.0,trade,0.52,0.48,1.0,3.0,-0.1490118805412674,-0.0951237737310494,-3.2993019344351637,-2.801816034636881,-0.1520458778769351,614.0,1.7055555555555555,451,1.2527777777777778,307,0.4337960746768788,0.4690376569037657,0.9053742756784028,2,True,LSTM,LSTM | vanilla price only
LSTM,vanilla_price_only,price_only,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,LSTM,LSTM | vanilla price only
LSTM,vanilla_volume_assisted,volume_assisted,vanilla,1,1.0,trade,0.52,0.48,2.0,3.0,-0.1218209394735911,-0.0229376046644921,-1.8181775670990183,-2.1488377780115635,-0.1473961071053058,1067.0,2.955678670360111,772,2.1385041551246537,534,0.7746121041647763,0.4709289374025395,0.9612782664288552,6,False,LSTM,LSTM | vanilla volume assisted
LSTM,vanilla_volume_assisted,volume_assisted,vanilla,2,1.0,trade,0.52,0.48,3.0,3.0,0.0060616300157676,0.117555077050385,0.102360322175838,0.1222644801175292,-0.0673647136014751,1051.0,2.9194444444444443,759,2.1083333333333334,526,0.7582575394925802,0.4703907935746823,1.0023283064072015,1,False,LSTM,LSTM | vanilla volume assisted
LSTM,vanilla_volume_assisted,volume_assisted,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,LSTM,LSTM | vanilla volume assisted
LSTM,tuned_price_only,price_only,tuned,1,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,LSTM,LSTM | tuned price only
LSTM,tuned_price_only,price_only,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,LSTM,LSTM | tuned price only
LSTM,tuned_price_only,price_only,tuned,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,LSTM,LSTM | tuned price only
LSTM,tuned_volume_assisted,volume_assisted,tuned,1,1.0,trade,0.53,0.47,2.0,5.0,-0.1242719644934374,0.002703951099793,-2.160533467139385,-2.1459349329124824,-0.1552786521096228,1354.0,3.750692520775624,1095,3.033240997229917,677,0.5501315670084385,0.4578875998191954,0.9449530066153043,0,True,LSTM,LSTM | tuned volume assisted
LSTM,tuned_volume_assisted,volume_assisted,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,LSTM,LSTM | tuned volume assisted
LSTM,tuned_volume_assisted,volume_assisted,tuned,3,1.0,trade,0.53,0.47,2.0,5.0,-0.1167883199374935,-0.0531270722847015,-2.0932312330063287,-1.516946944122735,-0.1534247855871103,696.0,1.912087912087912,578,1.5879120879120878,348,0.3177348029833014,0.4661610268378063,0.9309638288691112,2,True,LSTM,LSTM | tuned volume assisted
CNN-LSTM,vanilla_price_only,price_only,vanilla,1,1.0,trade,0.51,0.49,1.0,3.0,-0.147690557560014,-0.1238391820324865,-4.2178596881354204,-2.177896651588304,-0.1524390986486757,276.0,0.7645429362880887,184,0.5096952908587258,138,0.1702204881589692,0.4473282442748091,0.8131194174068691,2,True,CNN-LSTM,CNN-LSTM | vanilla price only
CNN-LSTM,vanilla_price_only,price_only,vanilla,2,1.0,trade,0.52,0.48,1.0,3.0,-0.1087208022568818,-0.0140972374530777,-1.8908446821993248,-2.104600375878367,-0.1486697473529065,1009.0,2.8027777777777776,756,2.1,505,0.7667783628530397,0.4729889124793583,0.9578839916128372,2,False,CNN-LSTM,CNN-LSTM | vanilla price only
CNN-LSTM,vanilla_price_only,price_only,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,CNN-LSTM,CNN-LSTM | vanilla price only
CNN-LSTM,vanilla_volume_assisted,volume_assisted,vanilla,1,1.0,trade,0.53,0.47,1.0,3.0,0.1975287029711081,0.3273175409745008,2.498143685063846,2.9856094373440056,-0.1349357589054511,1029.0,2.850415512465374,767,2.1246537396121883,515,0.7667180836584702,0.4872572134276411,1.0564127946765418,3,False,CNN-LSTM,CNN-LSTM | vanilla volume assisted
CNN-LSTM,vanilla_volume_assisted,volume_assisted,vanilla,2,1.0,trade,0.53,0.47,1.0,3.0,-0.1297952970346481,-0.0676311718717407,-2.6172950386579688,-2.478485174243421,-0.1505377144822529,690.0,1.9166666666666667,510,1.4166666666666667,345,0.5361416945907133,0.4622801082543978,0.9308526792218038,2,True,CNN-LSTM,CNN-LSTM | vanilla volume assisted
CNN-LSTM,vanilla_volume_assisted,volume_assisted,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,CNN-LSTM,CNN-LSTM | vanilla volume assisted
CNN-LSTM,tuned_price_only,price_only,tuned,1,1.0,trade,0.52,0.48,1.0,3.0,0.0100720030355159,0.1215611721678369,0.1375685445120143,0.1638655821590106,-0.1294967258618558,1047.0,2.9002770083102494,769,2.1301939058171744,524,0.7768805008619908,0.4786808794137241,1.0029988964737138,8,False,CNN-LSTM,CNN-LSTM | tuned price only
CNN-LSTM,tuned_price_only,price_only,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,CNN-LSTM,CNN-LSTM | tuned price only
CNN-LSTM,tuned_price_only,price_only,tuned,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,CNN-LSTM,CNN-LSTM | tuned price only
CNN-LSTM,tuned_volume_assisted,volume_assisted,tuned,1,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,CNN-LSTM,CNN-LSTM | tuned volume assisted
CNN-LSTM,tuned_volume_assisted,volume_assisted,tuned,2,1.0,trade,0.55,0.45,2.0,3.0,-0.0069982789506826,0.0389152274234554,-0.4791632459682661,-0.2894230975986067,-0.0300714901047252,452.0,1.2555555555555555,356,0.9888888888888888,226,0.1699890127138597,0.4268199233716475,0.977786161730324,0,False,CNN-LSTM,CNN-LSTM | tuned volume assisted
CNN-LSTM,tuned_volume_assisted,volume_assisted,tuned,3,1.0,trade,0.51,0.49,3.0,3.0,-0.1392748426454592,-0.0472283719282796,-2.4479512960977368,-2.6881147366896747,-0.1524450290553881,1016.0,2.791208791208791,651,1.7884615384615383,508,0.6570649704679691,0.4766702014846235,0.9436272989562132,1,True,CNN-LSTM,CNN-LSTM | tuned volume assisted
